key,value1,value2,value3
0xB3318AFAFA478Bb259340E48b2d53C04811fA690,1216,405.3333333,0
0x3055A0666E88cA12713F6958Be7B321a4A0606d0,1164.902521,388.3008403,194.1504201
0x5D9866609A17E4fF44aa0aA9dd390F53Ead0D071,1135.703192,378.5677308,189.2838654
0x6F91Ec242feA53B0ae9112f00Fe0f65cf2A22995,1126.4,375.4666667,187.7333333
0xed3D995CFe2C4B4ED8bcbA4cafAe0d0492bE7c34,960,320,160
0x00Aaf5FBC4c1EEf9b3019f760B2A9E482ECd2a4a,960,0,0
0x67842a8db8dcf0a25A286D94C7f45140c75109a0,960,320,160
0x29cb4a751782C62166AD47192cCD9DD5D76af26C,800.32,266.7733333,133.3866667
0x5ab948461539c8E131475128C8661FD54fEBf7A2,800,0,0
0x0Ad77079FbB23287D0f1780C3701568E6086690a,768,256,128
0xE55A0C05a3899E4755700A171A58ed1A07dCc98F,736,245.3333333,122.6666667
0xDD1dB990E725B8F1D8568547e5772c4965A73b5E,733.9661951,244.6553984,122.3276992
0x33Fa48bB4442e7942060216440A84831fe415979,704,234.6666667,117.3333333
0x4652d6ba36Bb8b6B524041502Cb79bA35c86Ec02,691.2652587,230.4217529,115.2108765
0x63f155916928Cb6B2D973359098710b365c8e9fc,672,224,112
0x6b7843fbF59fB022cAaf13BB65E923FfcC8f630D,663.36,221.12,110.56
0x972750Ca3001DbeC18095f5D526279f240589caf,643.2,0,0
0xA2523E22f63039F8f3fe04e4a712456DC5D34B60,640.64,0,0
0x381B6192A75816cC34AbcCaD13e78040885Cbe26,640,213.3333333,106.6666667
0x8C97f7001DCb69c7751B401296E7587c59b67C05,640,213.3333333,106.6666667
0x4bfFB2d53172Cb6CffcD64B7FA92a8373A74ef0A,640,213.3333333,106.6666667
0x8cc5a480d72b8930b8aD431ceF557fDbCEb5Df53,640,213.3333333,106.6666667
0x5104C2962550e4c5aF76C58991E0395F060aB6Ff,640,213.3333333,106.6666667
0xE97FECC6634653c150aFdd843cfE8C46D3cf3B14,640,213.3333333,106.6666667
0x6f0F2F8dE54206fB6f73f9BFCAC6Db0C655d6b01,591.0939501,197.0313167,98.51565835
0x8e50f159CFaad964F04418BCFC761cFE72BAB8dF,528.96,176.32,88.16
0xE4999cA39C7A9DD0E6C175400789079b17039ca3,511.68,170.56,85.28
0x121FA418ab2aCb882b642Dc305Ed464124e1daaa,480,160,80
0xd494Ec88DC9F704836EDF00200fA6545A04Ad0bf,460.5325017,153.5108339,76.75541695
0xcA9c7649d1aeCa77F07e5F8730e5dfFF8604a61C,448,0,0
0x5ab68013C7F927C6eaBd2889c9bEd25EC5eEd8c7,432.0021,144.0007,72.00035
0x65AC6D43BE86c3a243b7e993B3156725015fc6b0,384,0,0
0x7CE2f9340cEE58cE5FB851f65D4CC4A0f66eaE63,329.2859454,109.7619818,54.8809909
0x6b91a0252E9eD360820F43DA3D3d2eE32dDAc92A,323.2638464,107.7546155,53.87730774
0xadac4E5Ec65288435B94FF64D34cD18a3117C18C,320.32,0,0
0x19F332b620d2F20116648870d75A1243E4A78390,320,106.6666667,53.33333333
0x0784D26cB27C3E0264b269DE57b2Cb5525dA1Fe9,320,106.6666667,53.33333333
0xe348d059CA8FD0753541160D02A21C28DE3C53e3,320,0,0
0x44Ea91F6903E819B461972bcA7989F6bD18506B7,320,106.6666667,53.33333333
0x4C57fD42179ba6953badc41eC0c0E58c4aac1D82,320,106.6666667,53.33333333
0xc3Fe671A757C149e08A91ED53E362D158D226dE6,320,106.6666667,53.33333333
0x06FF1a87a90244adB3d81ECc5A024c4779a11BE3,320,106.6666667,53.33333333
0x63D1e12832B78AB90aA9FBF0A122fd79ed3570B7,320,106.6666667,53.33333333
0x3301429552dB1fd60744D4f949776B3252dCBC75,320,106.6666667,53.33333333
0x2DD6e0444a4cB0213B64Bd86AAf5400A0555eC31,320,106.6666667,53.33333333
0x5B0C0955f8adEdE345Cc8559871310C9B2B1a3d9,320,0,0
0x6D29897E187A9525b40DE15055Afb52D0B0a2019,320,106.6666667,53.33333333
0x772B3Bea3A7FDa358E084489f12124A15a538073,320,106.6666667,53.33333333
0x6792F430d7E05E8E216673d874d66a3B38332650,288,96,48
0x139a7Bb5eD2F553f11F2296cCcc33Fec5086825C,275.2,91.73333333,45.86666667
0x5E310ad725969cBBAC4A41Cea10DDEb0cE5C08Da,255.2525694,85.08418979,42.5420949
0xa6201f528cEc97Bf501E1F8641cA5ca127F7cD3f,138.5916516,46.1972172,23.0986086
0xA20001fa84E81E1F6152F59D9d232a527f3028C1,134.4,44.8,22.4
0xb4FcCE841C09B00cA9018ab9d184F28d5190A97d,115.2,38.4,19.2
0xD42580DedB89c08Fb518B14E17fc003B64772C8b,0,0,0
0x3C505E15dccEBB146895ddABA73B1604551C7BA0,0,0,0
0x50E081691Ac3621768d9D8978F9d85b490aCC559,0,0,0
0xFE79c15c0b3aA2D4Db75011305d1D44097d2b32d,0,0,0
0x13aEf04C84A40dA5d40400A8394255F286559Eb8,0,0,0
0x74c8e2D39fE6b895b58d78FF47E6557C83074DDa,0,0,0
0x0948069a8Eb49B7626569E6A5Ddf33904351A7A8,0,0,0
0xd7a271c3b706902346C4Bb8BD96c2fb680cf11b0,0,0,0
0x45fa082e686808Bccf6e84b578fd6EEB60441990,0,0,0
0xeF1Fb7c0E00d49352564f92fd496135E6730Ed9c,0,0,0
0x0200f186d0CA336aA86b8cc6c264f9005bcACD4d,0,0,0
0xA1099EB02502c1fd8C6365361250dB18358f95E4,0,0,0
0x6a6122AA64a0Cb3898Af00689f4781E278426dcD,0,0,0
0x9e0261398B15BB3D10112C62e9AB80e382B11B56,0,0,0
0xa1678A405385B7aE468B8D48ddE402FDE56dEf90,0,0,0
0xc74ca535EDF9B2c50EBB1A07fed6fd1F3B801942,0,0,0
0x024550bD6A98Ce16722D198eFf7062E863848069,0,0,0
0x55425DF9D04E61AF2Ee586F19a1F68CF2Ecf8a81,0,0,0
0xa4e14174a56aCc00655aF6b2253Fcc309fFa61A2,0,0,0
0xc986fD8e29dA25474138606c5e16560ABb5197B1,0,0,0
0x3C1FB24E03FCBC5C4271a9a9D2bBBE3dE5eD8456,0,0,0
0x5e677974e92802cb279252A029F62720d0A1316B,0,0,0
0x79008B84a0a7B13Eb67A272AE0D0e5193fCC2431,0,0,0
0x18bD6D1d39B883c8161476C30b8e7c3b037aAc93,0,0,0
0x02eD43e7253dfcDFa6C31410B9715B88D750D26F,0,0,0
0x6b5e56B8578c49ef7b9504c77dA655169D304CE5,0,0,0
0xEDF7497C7d187E1033B262D97Fbe9CcF7B251ABF,0,0,0
0x8CcDF7f6c39EC464730EE9dD0fCDaE0c38C7ecb9,0,0,0
0x5aF18Cc17F8a596506a7120CE72284Fb523197Db,0,0,0
0x08594A93991FA132E29051541e7f1A13f477fd0d,0,0,0
0x7A79D63aFc9D0B3cF7b098883032fd6464a61d14,0,0,0
0x7767b6027FdEB16C598B82536cd177D506F8D330,0,0,0
0xEa36Fe7f31Fad9DA8d818f4cA5D5c914cD616C02,0,0,0
0x56997946aeF124f837c0ab7E52411469dD8f6815,0,0,0
0x60c09BED93D8c91FD27DcD935562156E95F8Cc64,0,0,0
0xC3A57159a57B14a555CB93DC05e5162E1dA6aA34,0,0,0
0x9ACc0e7d0BfFD67Fa68D2c1fc544557fd94741ed,0,0,0
0x5Ae7fA8B189918c479c9fBB9731695f5e84c3fBd,0,0,0
0x707B3DeB2306A8F960EbE7dd33c16aA01A2Dbfdf,0,0,0
0x7e894A5333005D843Abec79d014721b3763bC2e2,0,0,0
0xE2006c1Ae79F29680326A28fEf3AFE529EF7dB77,0,0,0
0xaC17e437F9A305e0819617ee959A52bb1BDEfC29,0,0,0
0x3CeDa2d5e0F26fDb19c0C050e9277d247359170D,0,0,0
0x1B90ECC8b7f7314c9ddD6D876dDD38c643D49762,0,0,0
0xB7ca2C99fe900D5b190a8533b29d1D40bcf96985,0,0,0
0x460474FebA223c67d5e43843c0756DeE5a2E9154,0,0,0
0xD315d5430Ae2C4516dFC57CAbaD4D66d8e0d89C8,0,0,0
0x1620a14bAD5FFFb5b8AD0408EE80582128dCF98D,0,0,0
0x587c4d25109F194e6c88C24c74e78588354CFe20,0,0,0
0x648C7BF92858F7bD79b571ab8a54bd0485F4d9bA,0,0,0
0x37c62D0558a8B30Ae1Db4e015a412769A5697F66,0,0,0
0xF3853b837B77de73cf05F5B1D2cd293392c1981e,0,0,0
0xC530b5eAa1d45F4086e136858397bE489dDcd5f3,0,0,0
0x810398cC9ecFbd44711fB972BB8155beAEE1eF43,0,0,0
0x4a32c26992F17F909aCDcf04fd3B2AFF082742c0,0,0,0
0x43Eeb34D79f9F37a81CcB057D881Df3336a23bA4,0,0,0
0xD0655177B6348310F1f8BDdc7a7c50c8A110dE45,0,0,0
0x961FCc598D29C83e4EeEc9C9d72368edc9f1E1BF,0,0,0
0x4Bf3373d065f198c9d68Fdc05C8C40C4A721aC15,0,0,0
0x9F8ec2303Cf787492e0f94988ce15101f39D9b2E,0,0,0
0x5638f025ef9B7D45F2F5122e97534938fd6c9b52,0,0,0
0x123B2B3aAb26b7362F0ac97243135B05a6a61696,0,0,0
0xF653cda9b87359e47a48920dF9c0aA40de088e95,0,0,0
0xf33eC9a36C656C4eBad0B436a284DE978f6c1515,0,0,0
0xa886831c46BAE3177F9EFeE95f2F4DeaecD3E111,0,0,0
0xb73d81D94E75610d59E4053Fb6Be0Ff728F529e5,0,0,0
0x08b843CB4Eb7F54C88390e39576d81CD61704a6f,0,0,0
0xe9544e6399232C43B56D5cA84900918934fecb72,0,0,0
0x2c0ea972932E0D87a0a14a2AEb2228529Ed3791b,0,0,0
0xcf7d37578E0b359308cdd470E3A547ed7C7BB205,0,0,0
0x4EF6Ea806515C21dF74F081104A66d71A99C4f74,0,0,0
0xB1c912595e7ff5b6E89b1355bC44f02Bff7Bf74C,0,0,0
0x37B6a454fece4b7157B42D641AA8381230006964,0,0,0
0x4c637465c2a23261067BF0132cb32859ba7C623c,0,0,0
0x81feBc1D476bdDeA66b927bDB067494a4d544ac1,0,0,0
0x5f6F86ccb3143cB30220FAaD668cdF03fCb482DA,0,0,0
0x36403Cf61505e0247848192cC741902d7e8C71c6,0,0,0
0x15d8FEA352a8995c70b98b3382DBd162Ee31642C,0,0,0
0xcA0368145229e7c86D120f97F96890db33e3d537,0,0,0
0xcbeE836d682Df5DA050A589b9aa81759c044aCDA,0,0,0
0x86Fa48fC7DC7c8146EdDAb982ADFbe33176436D5,0,0,0
0x56e81cEc1a89587d2E1e319aA4895EDf1AD42806,0,0,0
0xdd492712bb74A65f2f9b4b9f4AE9F3151bA5D894,0,0,0
0xfe1e15889Ab002AD0786d2319990e05719eD136c,0,0,0
0xAc9D7c2A86d881834Acd9A1e3210c41632a03E86,0,0,0
0x12C3B18ca19ab37019Ff4133B4E3492896B58CE7,0,0,0
0x69F6cE406C71a39f1dA7CbeCBa22967dF51d1926,0,0,0
0x33ae893e146a24A2fFD55127273Ce625CA57b03E,0,0,0
0x3Fbd5e31Dda1E5A897d7A5e2a1a5CEEFFC1cBf69,0,0,0
0x51F2718fCa8B25CA724Ea002EB81C058FdA7C574,0,0,0
0x97F118b7fDA4A1b080e30a74C4369C98B7096C0d,0,0,0
0xb8e753A115A016102AAd4a895c5DCe15a5Eca6c9,0,0,0
0xF775d4Da6454c6bbE1f45dE446A2AE1856fC206E,0,0,0
0xe8F703924602522fdDDcAC6273128DdC090d1999,0,0,0
0x8235A09ffd0Dcaf68BCc63f8c76d53d57fADABa1,0,0,0
0xdDb516bBB5b47faC2C08563493035D0AB25faCaE,0,0,0
0x7cE68237F0D645647de017BA4eEC80216c584715,0,0,0
0x589d2D2749Cb9C2fBB9ae6a07173C3b5A5C93606,0,0,0
0x144f5D8553c5767af2e36b20fd7Cb700ac826a99,0,0,0
0xD4Df8Ebc9d6624BDc6550A1C54DF17b9780B5413,0,0,0
0xa153EcdEe2CddA110A810675aB32D7c80Bc6Bbf9,0,0,0
0x757Bc81F06dB4cC3679C38De720a7E6e0e9857Fc,0,0,0
0x73c96E9942514ea828f8CFBebF293E6Ed65f157e,0,0,0
0x324b5b563b30c6F002629901730840ADffd4c3FF,0,0,0
0xbd599ed077764Def69C2B0Fb108317bc58A96bCC,0,0,0
0x2Bb98f175c1e9FD49c9cDF2d3a9D868a0495c024,0,0,0
0x7E8F5017B73C3c1568A2dbf8948d6D466E8d21d6,0,0,0
0x508Dad80DB098e138038662B589D7087bD5120bf,0,0,0
0x8D22131ff2e00d3f34AB3383086F6f5137d9813e,0,0,0
0x8e74E498CB911c3E4e110825ce936b23f630AA28,0,0,0
0x30Ec067E35961A6FD4Ba296F00238ab5C997b849,0,0,0
0xed17B06346a3a7920dC7F51aBe62b4A4759b2F78,0,0,0
0x765Bf60621C889C920a9FC0EF076834B8528567d,0,0,0
0xe8f470037c18fd0AcCC48aDE10Ca2768b95b4DAA,0,0,0
0x129C116B40B633fe9AD266a620C4ff433F37dDf8,0,0,0
0x391aC7FC8bCe3dBBC5992ab62E6952B554EC6736,0,0,0
0xB043e2a82AD069e919EF26bF10b8447243bC0171,0,0,0
0x0e64E4Df3E2a2fb24981432409C20365fe85E4d7,0,0,0
0xD8492e0D57D38C7901ED6Fbeab046d8E4860eD94,0,0,0
0xF4368cA1eB727c782284ae248e65aD824b25c22E,0,0,0
0x47CFB96e9ea3b08d5ee1AAfce79378f8ac044744,0,0,0
0xA8BEfECb4A6EcF8588cE4418C2531bcfC042B6e9,0,0,0
